,제목,가수,가사,장르
66,Nostalgia,우디 (Woody),"I need your love
너는 듣고 있을까
I'm in love
아직 이곳에서
우릴 기억해 널 그리워해
그 추억 속에 푹 잠겨버린
난 마치
밤거리의 갈 곳을 잃은 아이
버릇처럼 널 불러
such a lonely night
너에게로 가는 맘
빈 거리에 남은 채로
이 노래를 불러
온 세상이 너의 memory
향기만 번져 멀리
I call you louder louder
향기만 번져 멀리
I call you louder louder
향기만 번져 멀리
I need your love
where are you now?
여전히 난 널 기다려
너만이 오직 날 완성해
where am I?
푹 잠겨버린 난 마치
밤거리의 갈 곳을 잃은 아이
버릇처럼 널 불러
such a lonely night
너에게로 가는 맘
빈 거리에 남은 채로
이 노래를 불러
온 세상이 너의 memory
향기만 번져 멀리
I call you louder louder
향기만 번져 멀리
I call you louder louder
향기만 번져 멀리
널 지워내 또 그려내
혼자 하는 이별조차
난 할 수 없나 봐
기억들 너머
흐린 추억을 건너
지나치는 나를 뒤로
넌 사라져
밤거리의 갈 곳을 잃은 아이
버릇처럼 널 불러
such a lonely night
너에게로 가는 맘
빈 거리에 남은 채로
이 노래를 불러
온 세상이 너의 memory
향기만 번져 멀리
I call you louder louder
향기만 번져 멀리
I call you louder louder
향기만 번져 멀리",일렉트로니카
67,그라데이션,10CM,"밤은 다시 길고 깊어졌네
나는 점점 너로 잠 못 들게 돼
글로 적어내긴 어려운 이 기분을
너도 느꼈으면 좋겠는데
너는 아무 생각 없이 몇 번
나를 지나가며 웃은 거라지만
나의 하얀 옷에 너의 잉크가 묻어
닦아낼 수 없을 만큼 번졌네
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
요즘 노랜 뭔가 맘에 안 들어
네게 불러 주기엔 좀 어려워서
나름 며칠 밤을 새워 연습했지만
네게 들려주기엔 무리인 것 같아
너는 번질수록 진해져 가고
나의 밤은 좀 더 길고 외롭지만
하루종일 떠오르는 너의 얼굴은
방을 가득 채워 무지개같이
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
바람을 맞고 빗물에 젖어
나의 색감도 흐려지겠지만
너는 항상 빛에 반짝일 테니까
멋진 말들을 전하지 못하고
아무도 관심 없는 그림이 되겠지만
달콤한 색감은 감추지 못해
터지고 있어
내일은 말을 걸어봐야지
그냥 이 노래가 어떨까 싶어","인디음악, 포크/블루스"
68,The Planet,방탄소년단,"We’ll get it done
We’ll work as one
We’ll get it done nah nah
We’ll get it done
We’ll work as one
We’ll get it done nah nah
(Oh listen up)
We’ll get it done
We’ll work as one
(Come on everyone)
We’ll get it done nah nah
We’ll get it done
(We can do it yeah)
We’ll work as one
We’ll get it done
You and I got the power
너와 나의 작은 별
지금 아파하고 있어
하늘은 자꾸 어두워져
But you and I got the power
시곗바늘을 힘껏
잡아 너의 손에 꼭
자 돌아가 보자고
Oh oh yeah
하늘까지 걸어가
까만 구름 위로 점프
(Don’t make it stop)
우리 함께 해볼까
‘Cause wherever you go, I’m goin’
And you know it
(Here we go)
잿빛 도시 멀리
여행을 떠나자
널 비추는 달빛을 따라
You’re one in a million
So let all your colors shine
(Colors shine)
밤하늘 깊이 춤을 추는
별들 따라 one two three
함께 떠나 저기 아득한 우주 멀리
You’re one in a million
So let all your colors shine
(Dance right, dance dance right)
We’ll get it done
We’ll work as one
We’ll get it done nah nah
We’ll get it done
We’ll work as one
We’ll get it done
저 파란 energy
이끌어내 더 높이
이 세곌 되돌릴 seven keys
We singin’, we dancin’
You could feel the air (listen up)
뭐든 할 수 있어 (work it up)
이미 알고 있어 (all the love)
Let’s rock the world
(if we want it we can have it)
We’ll save this planet
We love this planet
소중한 모든 걸
지키고 싶은 걸
꽃들 사이 날아가
초록 들판 위에 누워
(Don’t make it stop)
어떤 꿈을 꿔볼까
‘Cause wherever you go, I’m goin’
And you know it
(Here we go)
잿빛 도시 멀리
여행을 떠나자
널 비추는 달빛을 따라
You’re one in a million
So let all your colors shine
(Colors shine)
밤하늘 깊이 춤을 추는
별들 따라 one two three
함께 떠나 저기 아득한 우주 멀리
You’re one in a million
So let all your colors shine
(Dance right, dance dance right)
We’ll get it done
We’ll work as one
We’ll get it done nah nah
We’ll get it done
We’ll work as one
We’ll get it done nah nah
We’ll get it done
We’ll work as one
We’ll get it done nah nah
We’ll get it done
We’ll work as one
We’ll get it done",댄스
69,Candy,NCT DREAM,"Candy
사실은 오늘 너와의
만남을 정리하고 싶어
널 만날 거야 이런 날 이해해
어렵게 맘 정한 거라
네게 말할 거지만
사실 오늘 아침에
그냥 나 생각한 거야
햇살에 일어나 보니
너무나 눈부셔
모든 게 다 변한 거야
널 향한 마음도
그렇지만 널 사랑 않는 게 아냐
이제는 나를 변화시킬 테니까
너 몰래 몰래 몰래
다른 여자들과 비교 비교했지
자꾸만 깨어지는 환상 속에
혼자서 울고 있는
초라하게 갇혀버린 나를 보았어
널 떠날 거야 uh
널 떠날 거야 uh
하지만 아직까지 사랑하는 걸
그래 그렇지만 내 맘속에
너를 잊어갈 거야
머리 위로 비친
내 하늘 바라다보며
널 향한 마음을 이제는 굳혔지만
웬일인지 네게 더 다가갈수록
우린 같은 하늘 아래 서 있었지
단지 널 사랑해 이렇게 말했지
이제껏 준비했던
많은 말을 뒤로한 채
언제나 니 옆에 있을게
이렇게 약속을 하겠어
저 하늘을 바라다보며
내게 하늘이 열려있어
그래그래 너는 내 앞에 서 있고
그래 다른 연인들은 키스를 해
하지만 항상 나는
너의 뒤에 있어야만 해
이제 그만해 나도 남잔데
내 마음 너도 알고 있는 걸 알아
그래 이제 나도 지쳐서
하늘만 바라볼 수밖에
내게 하늘이 열려있어
그래그래 너는 내 앞에 서 있고
그래 다른 연인들은 키스를 해
왜 난 너의 뒤에 있어야 할까
햇살에 일어나 보니
너무나 눈부셔
모든 게 다 변한 거야
널 향한 마음도
그렇지만 널 사랑 않는 게 아냐
이제는 나를 변화시킬 테니까
머리 위로 비친
내 하늘 바라다보며
널 향한 마음을 이제는 굳혔지만
웬일인지 네게 더 다가갈수록
우린 같은 하늘 아래 서 있었지
단지 널 사랑해 이렇게 말했지
이제껏 준비했던
많은 말을 뒤로한 채
언제나 니 옆에 있을게
이렇게 약속을 하겠어
저 하늘을 바라보며
한 번 더 한 번 더 말했지
이제껏 준비했던
많은 말을 뒤로한 채
(준비했던 많은 말을 뒤로한 채
다시 널 사랑한다고 했지)
언제나 니 옆에 있을게
다신 너 혼자 아냐
너의 곁엔 내가 있잖아",댄스
70,FEARLESS,LE SSERAFIM (르세라핌),"Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

제일 높은 곳에 난 닿길 원해 느꼈어 내 answer
내 혈관 속에 날뛰는 new wave 내 거대한 passion
관심 없어 과거에 모두가 알고 있는 그 트러블에 huh
I'm fearless a new b**ch new crazy 올라가 next one

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

욕심을 숨기라는 네 말들은 이상해
겸손한 연기 같은 건 더 이상 안 해
가져와 forever win 내게 ay
가슴팍에 숫자 1 내게 ay
내 밑으로 조아린 세계 ay
Take the world break it down break you down down

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba
Mmmm I’m fearless huh

더는 없어 패배
준비된 내 payback
Bring it 당장 내게
Mmmm I’m fearless huh

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh",댄스
71,Monologue,테이,"다 잊었다는 거짓말
또 해 버렸죠
내 마음에 그대란 사람
없다고 했죠
너무나 쉽게 잊혀졌다고
이젠 남이라고
서툰 내 사랑에 지쳐 떠난 그대
너무 많이 울려서
잡을 용기조차 낼 수 없었죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요 더 이상은
그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요
너무 투명해서 때론 불안했죠
제멋대로 살아온 나를
감당할 수 없을 것 같죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
고마웠어요 나를 사랑해 줘서
나 같은 사람이 두 번 다시
감히 받을 수 없는 사랑
그대 때문에 행복했어요
울지 마요 그대
잘 생각해 봐요
나쁜 일들만 가득했던 우리
다 잊어야 해요
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요
더 이상은 그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요",발라드
72,Shut Down,BLACKPINK,"Blackpink in your area
Blackpink in your area

컴백이 아냐 떠난 적 없으니까
고개들이 돌아 진정해 목 꺾일라
분홍빛의 얼음 drip drip drip
freeze ‘em on sight
Shut it down what what what what

게임이 아냐 진 적이 없으니까
짖어봐 네 목에 목줄은 내 거니까
땅바닥에 닿은 pedal we go two zero five
Shut it down uh uh uh uh

초록 비를 내려 머리 위로 Don’t trip, baby
겸손하게 그냥 앉아있어 Just sit, baby

Praying for my downfall,
many have tried, baby
Catch me when you hear my Lamborghini go vroom, vroom, vroom,
vroom

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down
Whip it whip it whip it whip it
Whip it whip it whip it whip it
It’s black and it’s pink once the sun
down

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down
Whip it whip it whip it whip it
Whip it whip it whip it whip it
Keep watching me shut it down

Nah
You don’t wanna be on my bad side
that’s right I’m slidin’ through
Bunch of wannabes that wanna be me,
me three if I was you
Been around the world, pearls on ya
girl, VVS's we invested uh
Need a lesson see the necklace,
see these dresses
We don’t buy it we request it uh

A rockstar, a popstar but rowdier
Say bye to the paparazzi, get my
good side, I'll smile for ya
Know it ain’t fair to ya, it’s scarin’ ya
like what now
Blackpink in your area, the area been
shut down. It’s a shutdown

네 다음 답안지야 똑바로 봐
don’t sleep baby
뒤집어봐 이건 가격표야 ain’t cheap baby

Stay in your own lane ‘cause
I’m ‘bout to swerve
Catch me when you hear my Lamborghini go vroom, vroom, vroom,
vroom

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down


Whip it whip it whip it whip it
Whip it whip it whip it whip it

It’s black and it’s pink once the sun
down

When we pull up you know
it’s a shutdown
간판 내리고 문 잠가 shut down

Whip it whip it whip it whip it
Whip it whip it whip it whip it

Keep watching me shut it down

Shut it down Blackpink in your area
Shut it down woah woah woah woah
Shut it down Blackpink in your area
Keep talking we shut you down",랩/힙합
73,취중고백,김민석 (멜로망스),"뭐하고 있었니 늦었지만
잠시 나올래
너의 집 골목에 있는
놀이터에 앉아 있어
친구들 만나서 오랜만에
술을 좀 했는데
자꾸만 니 얼굴 떠올라
무작정 달려왔어
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
눈물이 날만큼 원하고 있어
정말로 몰랐니
가끔 전화해 장난치듯
주말엔 뭐할거냐며
너의 관심 끌던 나를
그리고 한번씩 누나 주려 샀는데
너 그냥 준다고
생색 낸 선물도 너 때문에 산거야
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
진심이야 믿어줘
갑자기 이런 말 놀랐다면 미안해
부담이 되는게 당연해
이해해 널
하지만 내 고백도 이해해 주겠니 oh
지금 당장 대답하진마
나와 일주일만 사귀어줄래
후회없이 잘 해주고 싶은데
그 후에도 니가 싫다면
나 그때 포기할게
귀찮게 안할게 혼자 아플게
진심이야 너를 사랑하고 있어",발라드
74,ELEVEN,IVE (아이브),"따분한 나의 눈빛이
무표정했던 얼굴이
널 보며 빛나고 있어
널 담은 눈동자는 odd

내 안에 빼곡하게 피어나는 blue
내가 지금 느끼는 이 감정들은 true
내 입술을 간지럽힌 낯선 그 이름
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

투명한 너와 나의 사이
가만히 들여다보다
일렁인 물결 속으로
더 빠져드는 걸

그날 향기로운 보랏빛의 mood
셀 수 없이 반복해도 기분 좋은 꿈
감히 누가 이렇게 날 설레게 할 줄
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를 (그 눈에 비친 나를)
Aya, aya, aya (가만히 바라봐)
내 앞에 있는 너를
그 눈에 비친 나를
가만히 바라봐

Don't say now
서둘러 오진 마
이 순간이 좋아 난
미처 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를
Aya, aya, aya
내 앞에 있는 너를
그 눈에 비친 나를
사랑하게 됐거든",댄스
75,먼지,세븐틴 (SEVENTEEN),"‘싫어’ 하면 싫어지면 좋겠어
좋아하는 마음을 멈추고 싶어
아주 잘 지내고 있단
소식은 잘 듣고 있어
친구 녀석들 놀리듯 내게 전하고 있어
무심코 집은 옷걸이 위에
걸려있던 너의 계절 재킷
그 위로 쌓인 마음이 뭔지
너의 향기 묻어있는
쓰리디쓰린 그리움의 먼지
흩날리는 일이 없어
마음 가득히 쌓여만 가요
엉켜서 굴러다니죠
살피꽃밭 길의 기억을 버리고 버려도
먼지처럼 다시 돌아와
마음 가득 쌓이네요
짙은 추억은 유치해 뻔한 거짓말을 해
알면서도 속고 싶어
시간은 약이란 말은 날마다 가짜
무슨 말을 믿어야 내 마음이 편할까요
나의 지갑 깊은 모퉁이
남아있는 너의 증명사진
그 위로 쌓인 마음이 뭔지
너의 추억 묻어있는
쓰리디쓰린 그리움의 먼지
흩날리는 일이 없어
마음 가득히 쌓여만 가요
엉켜서 굴러다니죠
살피꽃밭 길의 기억을 버리고 버려도
먼지처럼 다시 돌아와
아직 사랑한다고요
사랑한다고요",R&B/Soul
76,Salty & Sweet,aespa,"(Salty, Sweet)
(Salty, Sweet)
넘칠 만큼 Pour
휘저어 짙어지도록
특별한 맛을 더 Mix it up
비밀 재료를 Plus
Run Run Run
Kitty Kitty Run Run
이미 넌 이미 넌
빠져들어 점점 Like
향기는 퍼져가 더 Uh huh
붉어지는
Your lips 사이사이
묘약을 가득 머금어
스며드는
One drop, You’re gone
You’re done
Don't regret regret
'Cause I am Salty & Sweet
거부 못해 색다른 Treat
잊지 못해
첫맛에 느끼는 Real
기묘한 Feels
널 위해 준비된 Meal
Salty & Sweet
Ha ha ha ha ha ha
탐스러운 사과의 독처럼
유혹하며 빛나는
Diamonds and pearls
은밀하게 (쉿)
번뜩이는 Trick
너의 맘을 Steal
Better quick quick quick
소름 끼치도록 (Yeah, Uh)
반전 있는 Recipe (Woo Nana)
먹어 치워 맘껏 (Yeah, Eat)
그 대가는 Not free
스며드는
One drop, You’re gone
You’re done
Don't regret regret
'Cause I am Salty & Sweet
거부 못해 색다른 Treat
잊지 못해
첫맛에 느끼는 Real
기묘한 Feels
널 위해 준비된 Meal
Salty & Sweet
Ha ha ha ha ha ha
투명했던
그 눈빛은 이미
이 밤처럼
새까맣게 번져가
계속해서 삼켜내
뒷맛은 곧 알게 돼
모든 것이 나로 물든 순간
Na na na na na-
(Salty, Sweet)
Na na na na na-
(Salty & Sweet)
'Cause I am Salty & Sweet
거부 못해 색다른 Treat
잊지 못해
맛보는 모든 건 Real
섬뜩한 Feels
널 위해 준비된 Meal
Salty & Sweet
Ha ha ha ha ha ha
(Salty, Sweet)
Na na na na na-
So Salty, So Sweet Yeah
(Salty, Sweet)
Na na na na na-
(Salty, Sweet)
Na na na na na-
So Salty
(Salty, Sweet)
Na na na na na-",댄스
77,발걸음,DK(디셈버),"해 질 무렵 날 끌고 간 발걸음
눈 떠보니 잊은 줄 알았던 곳에
아직도 너에 대한 미움이 남아 있는지
이젠 자유롭고 싶어
시간이 해결해 주리라
난 믿었지 그것조차 어리석었을까
이젠 흘러가는 대로 날 맡길래
너와는 상관없잖니
처음부터 너란 존재는 내겐 없었어
네가 내게 했듯이
기억해 내가 아파했던 만큼
언젠간 너도 나 아닌 누구에게
이런 아픔 겪을 테니
미안해 이렇게 밖에 할 수 없잖니
정말 이럴 수밖에
너처럼 다시 시작할 수 있는 그날이 오길
너를 사랑할 수 없고
너를 미워해야 하는 날 위해
시간이 해결해 주리라
난 믿었지 그것조차 어리석었을까
이젠 흘러가는 대로 날 맡길래
너와는 상관없잖니
처음부터 너란 존재는 내겐 없었어
네가 내게 했듯이
기억해 내가 아파했던 만큼
언젠간 너도 나 아닌 누구에게
이런 아픔 겪을 테니
미안해 이렇게 밖에 할 수 없잖니
정말 이럴 수 밖에
너처럼 다시 시작할 수 있는 그날이 오길
너를 사랑할 수 없고
너를 미워해야 하는 날 위해
너를 사랑할 수 없고
너를 미워해야 하는 날 위해",발라드
78,on the street (with J. Cole),"j-hope, J. Cole","Every time I walk
Every time I run
Every time I move
As always, for us
Every time I look
Every time I love
Every time I hope
As always, for us
(On the street, I’m still)
내 두 발은 선뜻 걸어, anywhere
J in the air
가는 길이 희망이 되고자 하여,
나 구태여
Even my walk was made of
your love and your faith
보답을 해, 저 멀리서라도 나비가 되어
Now just walk lightly,
whenever you want
Go on hopefully, wherever you walk
누군가의 숨이 깃들어 있는 거리
내 영혼과 영원을 담을게
Everywhere (I’ll be)
Every time I walk
Every time I run
Every time I move
As always, for us
Every time I look
Every time I love
Every time I hope
As always, for us
(On the street, I’m still)
All hail the mighty survivor of hell,
Plopped down from heaven to sell
Holy water that I scooped
from the well
Fought tooth and a nail,
Just to prevail mongst it’s ruthless
As I move through the field
Feelin worried
In a hurry like a 2 minute drill
To make a couple mil
Off a lucrative deal
Selling train of thought,
Name a artist who could derail
You’ll never see it
like a n**** hula hoopin in jail
I got a friend smart as f***,
but he stupid as hell
He swear that God ain’t real
Since it ain’t no way to prove it his self
As if the universe ain’t enough,
as if the volcanoes ain’t erupt
As if the birds don’t chirp,
as if a trillion nerves don’t work
in the human body
Who would I be?
Without the creator of this theater
Beside me to gently guide me?
Somedays I wonder
if I need to pick a different hobby
I’m deep in with this rappin
It’s all a n**** know
I never didn’t nothin better,
it’s hard to let it go
But like a father,
watching his daughter,
walk down the altar,
With tears in his eyes,
you gotta let her grow
And so I shall,
but first I been honing my style
Coldest around,
with more quotables than
what the quota allows
You see a top 10 list
I see a Golden Corral, n****
As the moon jumps over the cow
I contemplate if I should
wait to hand over the crown
And stick around for a bit longer
I got a strange type of hunger
The more I eat the more
it gets stronger,
The more it gets stronger
I said the more it gets stronger
j-hope
Cole World
Every time I walk
Every time I run
Every time I move
As always, for us
Every time I look
Every time I love
Every time I hope
As always, for us
(On the street, I’m still)
Every time I walk
Every time I run
Every time I move
As always, for us
Every time I look
Every time I love
Every time I hope
As always, for us
(On the street, I’m still)",랩/힙합
79,Say I Love You,우디 (Woody),"입을 맞춰도 불안하고
품에 안아도 초조하고
잠이 들 때도 꿈처럼 사라질까
밤새 뒤척이고
보면 볼수록 겁이 나고
겁이 날수록 더 보고 싶고
사랑할수록 네가 날 떠날까 봐
두려워지나 봐
사랑을 다 줘도 불안한 건 남자야
넌 너무 모르지 남자의 사랑을
사랑할수록 더 보고 싶고
보면 볼수록 더 안달 나고
평생 내 여자로 만들고픈
조급한 마음인걸
평생 내 여자로 살아줄래
나 말곤 없다고 말해줄래
조금도 불안해하지 않게
한 번 더 말해줄래
Say I love you
Say I love you
Say I love you
Say I love you
사랑할수록 닮아가고
날이 갈수록 더 좋아져
함께 할수록 난 너 없인 못 살아
너 책임져
사랑을 다 줘도 불안한 건 남자야
넌 너무 모르지 남자의 사랑을
사랑할수록 더 보고 싶고
보면 볼수록 더 안달 나고
평생 내 여자로 만들고픈
조급한 마음인걸
평생 내 여자로 살아줄래
나 말곤 없다고 말해줄래
조금도 불안해하지 않게
한 번 더 말해줄래 Say I love you
Say I love you Say I love you
약속해줘 You are the only my love
한 여자만을 사랑하니까
내겐 그 여자는 너 하나니까
자꾸만 네 사랑을 보채도
날 미워하지는 마
평생 내 여자로 살아줄래
나 말곤 없다고 말해줄래
조금도 불안해하지 않게
한 번 더 말해줄래
Say I love you
Say I love you Say I love you
Say I love you Say I love you",발라드
80,다정히 내 이름을 부르면,"경서예지, 전건호","끝없이 별빛이 내리던 밤
기분 좋은 바람이
두 빰을 스치고
새벽 바다 한곳을 보는
아름다운 너와 나
그림을 그려갔어
모래 위 떨린 손끝으로
날 향해 웃어주는 입술
끝 모양과 저 달보다
사랑스러운 두 눈을 가진 네가
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
남은 내 모든 날을 너에게
다 줘도 안 아까워
이제서야 내가
사랑에 눈을 뜬 건 가봐
경험하지 못했고
믿기지 않는 일만
일어나고 있는 거 아니
5월에 피는 봄꽃 처럼
내 사랑도 피어나
부는 바람에 살며시 실어 보내
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
설레는 지금이
꿈이 아닌 걸 알잖아
난 더 바랄 게 없어
먼 훗날 내 생애
아주 작은 소리로
귓가에 말할 거야
내 곁에 머물러줘서
마음 다해 고맙다고
어떤 말로도 표현 못 할
내 인생의 전부였다고
이 순간 너를 꼭 안고
고백할게 언제나
우리 모든 날들과
별빛 아래 우리 그림자
제일로 특별하다고
길고 긴 겨울 끝을 지나
너의 앞에 서있는 지금
선명한 목소리로
널 사랑한다고
말할게",발라드
81,내가 아니라도,주호,"사랑이었다 별거 없던 내 하루에
빛이 돼준 단한 사람
나보다 나를 더 아껴 주던 너를
그땐 왜 몰랐을까
행복이었다 다시는 없을 것 같던
잠시나마 행복했었다
다른 사람 곁에 있는 널
생각해 본 적 없지만
이젠 너를 보내줘야 할 것 같아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
내 전부였다 무엇도 바꿀 수 없던
우리라서 행복했었다
다른 누구라도
나보다 더 좋은 사람 만나서
이젠 나를 잊고 행복하게 살아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
어두웠던 내 하루에
빛이 되어주던 그날들을
어떻게 잊고 살아
과분했던 너라는 사람을 만나
누구보다 사랑했었다
내가 아니었다면
눈부시게 사랑받았을 너란 걸
이 세상에 누구보다 더 잘 알아서
미안했어 너와 함께한 날들이
더 말할 게 있을까
행복한 기억만 가져갈게",발라드
82,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),"Back to the day
갓 10대가 됐을 때
그때 내가 널 보지 못했다면
어땠을까 해
왜인지 외로워지는 밤에 You say
흐린 추억 속에 네게 안겨 잠드네
Yeah 친구들과의 술자리
나는 또 네 얘기를 꺼내
보고 싶다는 넋두리에
친구들 답은 뻔해
10년도 더 된 애를 사랑할 수 있냬
이제 그만 잊으래
근데 그게 잘 안돼
그래 걔 말마따나
넌 아담의 사과일 수도
But 난 신을 안 믿으니까
네 전화 바로 픽업
지금 주소 찍어
어디든 상관없어 다 갈 테니까
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
아메리카노보단 라떼를
맛있게 내리던 네 집 앞 카페를
매일 같이 갔었었던 그때를
내려줄게 쓰지 않아 이제는
넌 매일 밤 예뻐 예뻐
해주며 날 재워 재워
식어버린 널 데워 태워
꿈에서 날 깨워 줘
버려진 기억들 속에서
쓸만한 컷들을 찾고 있어
이미 내 곁에 더는 없는 너지만
난 너를 느낄 수 있어
닿을 듯 안 닿을 듯
떠나는 뒷모습이
왜인지 행복해 보여
너라도 행복해줘
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네 말이 맞아
이건 사랑이 아냐
그냥 정리하고 가자",R&B/Soul
